Date,Close/Last,Volume,Open,High,Low
11/11/2021,$39.46,30474070,$38,$40.2,$37.5
11/10/2021,$38.29,32463560,$38.79,$40.8691,$38.05
11/09/2021,$39.93,37893480,$42.43,$42.6,$39.25
11/08/2021,$45.06,70347850,$42.48,$45.95,$41.77
11/05/2021,$41.7,40076990,$41.16,$41.97,$39.93
11/04/2021,$40.05,28553680,$40.39,$41.3,$39.11
11/03/2021,$40.79,82198010,$40.99,$44.21,$38.88
11/02/2021,$38.79,44361690,$37.62,$38.8,$36.6308
11/01/2021,$37.07,34054610,$35.65,$37.185,$35.39
10/29/2021,$35.37,32841460,$35.34,$36.6298,$34.53
10/28/2021,$35.23,23812230,$35.09,$36.069,$34.86
10/27/2021,$34.76,25904060,$36.33,$36.79,$34.58
10/26/2021,$36.05,27674760,$36.53,$37.4,$35.7819
10/25/2021,$36.83,30905450,$36.23,$37.8492,$35.78
10/22/2021,$36.6,46324160,$37.31,$37.6709,$35.96
10/21/2021,$39.24,33977570,$40.89,$41.94,$38.8
10/20/2021,$40.88,31219960,$40.65,$41.75,$40.3
10/19/2021,$40.8,52769250,$42.96,$44.4404,$40.74
10/18/2021,$43.03,50096260,$40.795,$43.63,$40.49
10/15/2021,$40.74,46524700,$40.2,$41.79,$39.78
10/14/2021,$40.07,67688180,$37.8,$41.1,$37.75
10/13/2021,$37.91,33484460,$36.72,$38.15,$36.12
10/12/2021,$36.82,25223400,$37.25,$37.57,$36.22
10/11/2021,$37.25,37351440,$36.85,$38.66,$36.2982
10/08/2021,$37.19,29643140,$37.92,$38.78,$37.06
10/07/2021,$38.14,37704300,$36.78,$38.55,$36.6
10/06/2021,$36.83,35450520,$36.36,$37.65,$35.64
10/05/2021,$37.06,37702830,$36.86,$38.1,$36.19
10/04/2021,$36.77,39943200,$38.9,$39.03,$36.33
10/01/2021,$38.46,65919010,$39.41,$40.13,$37.75
09/30/2021,$38.06,102819800,$35.19,$41.78,$33.74
09/29/2021,$35.54,43007780,$37.25,$38.26,$35.37
09/28/2021,$36.99,39523310,$38.9,$39.13,$36.88
09/27/2021,$39.3,31225530,$40.12,$40.63,$39.21
09/24/2021,$40.01,32555860,$39.81,$40.52,$39.25
09/23/2021,$39.98,41271080,$41.055,$41.85,$39.85
09/22/2021,$40.08,52441280,$38.5,$40.57,$37.74
09/21/2021,$38.82,64696300,$40.97,$41.49,$37.65
09/20/2021,$40.29,70807630,$41.95,$43.3286,$38.53
09/17/2021,$44.2,68730250,$46.1,$46.38,$44.2
09/16/2021,$46.04,57581890,$46.48,$48.69,$45.95
09/15/2021,$46.84,76214210,$46.43,$47.74,$43.77
09/14/2021,$47.3,65850320,$50.9,$51.5513,$46.96
09/13/2021,$51.69,75110960,$51.82,$52.79,$50.35
09/10/2021,$50.16,90152710,$49.15,$51.7,$48.95
09/09/2021,$48.52,85960950,$46.23,$49,$45.36
09/08/2021,$47.4,97372930,$47.03,$49.4,$45.73
09/07/2021,$47.83,102133700,$45,$47.93,$44.88
09/03/2021,$44.02,52212640,$43.54,$44.8,$42.47
09/02/2021,$44.38,67955360,$43.87,$44.9,$42.37
09/01/2021,$43.69,82772360,$47.16,$47.85,$43.05
08/31/2021,$47.13,127659600,$44.16,$47.16,$44.05
08/30/2021,$43.33,108370900,$41.78,$45.71,$41.28
08/27/2021,$40.84,72507380,$40.01,$41.58,$39.39
08/26/2021,$40.31,109710200,$42.79,$44.78,$40.07
08/25/2021,$43.96,209271500,$44.9,$48.3,$43.17
08/24/2021,$44.26,228489600,$37.19,$48.2,$36.35
08/23/2021,$36.78,75319330,$35.03,$37.93,$34.4
08/20/2021,$34.41,55432560,$33.9,$34.6,$32.2
08/19/2021,$33.82,47920570,$36.59,$36.78,$33.33
08/18/2021,$36.55,57948000,$37.32,$38.7,$36.49
08/17/2021,$37.16,86868910,$34.99,$38.7762,$34.59
08/16/2021,$35.69,86750320,$33.85,$36.18,$32.71
08/13/2021,$33.47,57990800,$32.2,$34.48,$31.88
08/12/2021,$33.07,71204130,$30.91,$34.1,$30.75
08/11/2021,$31.55,69684260,$31.58,$31.91,$29.4
08/10/2021,$31.75,116181500,$36.9,$37.1595,$31.441
08/09/2021,$33.8,81054620,$32.68,$35.38,$32.35
08/06/2021,$32.7,52858830,$33.42,$33.58,$31.57
08/05/2021,$33.51,108565100,$31.08,$34.12,$28.91
08/04/2021,$29.84,85496570,$34.43,$35.24,$29.81
08/03/2021,$33.59,61740110,$35.16,$35.2146,$32.78
08/02/2021,$35.2,59061670,$37.58,$38.48,$35.01
07/30/2021,$37.02,52996170,$37.54,$39.19,$36.79
07/29/2021,$38.13,59446200,$38,$40.25,$37.47
07/28/2021,$38.9,71021420,$37.41,$39.56,$36.08
07/27/2021,$38.01,55288890,$39.99,$40.3,$37.06
07/26/2021,$40.29,97977560,$38.32,$40.85,$37.57
07/23/2021,$36.99,85474780,$37.78,$38.4,$34.69
07/22/2021,$37.24,93985850,$40.16,$41.74,$37.15
07/21/2021,$40.78,158023700,$41.8,$46.55,$40.11
07/20/2021,$43.09,168673400,$35.14,$44.39,$35.13
07/19/2021,$34.62,112891300,$32.95,$35.34,$31.15
07/16/2021,$34.96,126825700,$37.83,$38.55,$34.3
07/15/2021,$36,199584500,$32.2,$37.4,$32.14
07/14/2021,$33.43,137830700,$38.8,$39.13,$33.245
07/13/2021,$39.35,86807270,$40.57,$42.14,$38.7
07/12/2021,$42.61,62986390,$44.29,$46.55,$42.07
07/09/2021,$46.19,57858590,$48.37,$48.92,$45.82
07/08/2021,$47.94,145078200,$40.95,$49.79,$38.76
07/07/2021,$45.07,95320210,$47.7,$48.99,$42.8
07/06/2021,$49.96,62370280,$53.46,$55.07,$49.7
07/02/2021,$51.96,90762310,$52.77,$53.25,$47.77
07/01/2021,$54.22,57765980,$56.86,$57.71,$52.5306
06/30/2021,$56.68,59020630,$56,$58.18,$54.65
06/29/2021,$56.43,63604140,$59.06,$61,$56.18
06/28/2021,$58.11,99310240,$55.1,$59.36,$54.33
06/25/2021,$54.06,77596930,$55.75,$56.29,$52.97
06/24/2021,$56.7,80351220,$57.98,$58.76,$55.66
06/23/2021,$58.3,116291800,$57.04,$61.1,$56.8
06/22/2021,$58.27,169494100,$54.1,$58.74,$51.05
06/21/2021,$55.69,185876100,$61.34,$63.01,$53.43
06/18/2021,$59.26,243645900,$61.26,$64.955,$56.85
06/17/2021,$60.73,303576000,$54,$63.83,$52.98
06/16/2021,$55.18,166450700,$56.14,$57.34,$51.86
06/15/2021,$59.04,285582100,$58.39,$64.71,$56.73
06/14/2021,$57,301467300,$51.83,$60.55,$51.52
06/11/2021,$49.4,218006600,$44.68,$49.6,$42.01
06/10/2021,$42.81,224860600,$47.93,$51.5,$39.71
06/09/2021,$49.34,150361300,$52.2,$53.39,$48.12
06/08/2021,$55.05,214490300,$57.16,$60.62,$52.77
06/07/2021,$55,349094900,$52.38,$59.6797,$51.5
06/04/2021,$47.91,337710100,$48.79,$57.48,$46.04
06/03/2021,$51.34,598142200,$58.1,$68.8,$37.66
06/02/2021,$62.55,766462500,$37.52,$72.62,$35.59
06/01/2021,$32.04,508694600,$31.89,$33.53,$28.53
05/28/2021,$26.12,660623600,$31.81,$36.72,$24.17
05/27/2021,$26.52,705545700,$18.61,$29.76,$18.31
05/26/2021,$19.56,379064100,$17.76,$19.95,$17.26
05/25/2021,$16.41,213644100,$13.61,$16.67,$13.552
05/24/2021,$13.68,113319200,$12.38,$13.96,$12.17
05/21/2021,$12.08,53937710,$12.61,$12.84,$12.05
05/20/2021,$12.55,61419730,$12.59,$12.99,$12.03
05/19/2021,$12.64,89024110,$12.95,$13.31,$12.14
05/18/2021,$14.03,172488400,$14.25,$14.67,$13.5723
05/17/2021,$13.95,147923000,$13.67,$14.38,$13.39
05/14/2021,$12.98,207589900,$13.31,$14.335,$12.57
05/13/2021,$12.77,296525000,$10.88,$14.2,$10.64
05/12/2021,$10.32,54423480,$10.03,$10.625,$10.02
05/11/2021,$10.05,49600980,$9.93,$10.48,$9.6
05/10/2021,$9.74,41015270,$9.9,$10.15,$9.56
05/07/2021,$9.51,38244970,$9.32,$9.79,$9.14
05/06/2021,$9,39586270,$9.33,$9.4,$8.93
05/05/2021,$9.17,15834150,$9.41,$9.57,$9.08
05/04/2021,$9.39,35222380,$9.625,$9.75,$9.05
05/03/2021,$9.71,31251230,$10.11,$10.12,$9.61
04/30/2021,$10.03,27741040,$10.07,$10.18,$9.88
04/29/2021,$10.2,37782920,$10.95,$11.04,$10.09
04/28/2021,$10.85,39720470,$10.85,$11.39,$10.65
04/27/2021,$11.46,51629820,$11.68,$12.223,$11.22
04/26/2021,$11.5,78592890,$10.69,$11.96,$10.57
04/23/2021,$10.16,27595210,$10.09,$10.38,$9.96
04/22/2021,$9.99,49923510,$9.95,$10.65,$9.79
04/21/2021,$9.78,23598230,$9.25,$9.81,$9.14
04/20/2021,$9.28,27008910,$9.7,$9.71,$9.01
04/19/2021,$9.66,32814330,$9.48,$9.81,$9.38
04/16/2021,$9.33,40696680,$10,$10.03,$9.09
04/15/2021,$9.9,45198900,$9.88,$10.23,$9.58
04/14/2021,$9.35,51166340,$9,$9.81,$8.9
04/13/2021,$8.84,44049130,$8.66,$9.12,$8.3101
04/12/2021,$8.62,51269800,$9.44,$9.49,$8.51
04/09/2021,$9.42,29254600,$9.6,$9.74,$9.24
04/08/2021,$9.79,33408680,$10.01,$10.01,$9.5
04/07/2021,$9.85,28804330,$10.07,$10.18,$9.85
04/06/2021,$10.2,44066950,$10.4,$10.5,$10
04/05/2021,$10.61,96082320,$10.1,$11.25,$9.72
04/01/2021,$9.36,77473910,$10.23,$10.26,$9.15
03/31/2021,$10.21,29832330,$10.4,$10.47,$10.05
03/30/2021,$10.35,39020490,$10.31,$10.52,$9.76
03/29/2021,$10.35,37330710,$10.32,$10.76,$10.09
03/26/2021,$10.24,84633070,$11.27,$11.53,$10.01
03/25/2021,$10.94,131192800,$8.96,$11.315,$8.95
03/24/2021,$9.02,81850720,$10.82,$11.21,$8.93
03/23/2021,$10.66,87923240,$11.46,$11.93,$10.37
03/22/2021,$12.49,88760140,$13.15,$13.19,$11.76
03/19/2021,$13.93,153206000,$14.14,$14.18,$13.28
03/18/2021,$14,122212300,$14.34,$14.54,$13.57
03/17/2021,$13.56,78053640,$13.24,$13.66,$13
03/16/2021,$13.02,125967600,$13.62,$13.62,$12.34
03/15/2021,$14.04,278969200,$12.18,$14.49,$11.85
03/12/2021,$11.16,111146700,$10.16,$11.4,$9.94
03/11/2021,$10.28,83933590,$10.65,$10.87,$9.9
03/10/2021,$9.85,261918600,$11.02,$12.47,$9.51
03/09/2021,$10.5,150415600,$9.38,$10.77,$9.22
03/08/2021,$9.29,114343800,$8.53,$9.48,$8.31
03/05/2021,$8.05,59734130,$8.08,$8.27,$7.63
03/04/2021,$8.03,77822640,$8.25,$8.59,$7.5
03/03/2021,$8.58,55651870,$8.95,$9.14,$8.5
03/02/2021,$8.93,78135440,$9.14,$9.4,$8.51
03/01/2021,$9.18,143586500,$8.86,$9.445,$8.42
02/26/2021,$8.01,137028000,$8.19,$9.01,$7.6301
02/25/2021,$8.29,445717400,$10.89,$11,$7.85
02/24/2021,$9.09,376881800,$7.23,$9.83,$6.99
02/23/2021,$7.7,264876400,$6.97,$7.86,$6.01
02/22/2021,$6.55,173409000,$5.93,$6.68,$5.75
02/19/2021,$5.7,40249110,$5.54,$5.77,$5.51
02/18/2021,$5.51,130540800,$5.84,$6.25,$5.46
02/17/2021,$5.55,38849050,$5.58,$5.62,$5.32
02/16/2021,$5.65,61165710,$6.03,$6.05,$5.49
02/12/2021,$5.59,46773030,$5.72,$5.97,$5.52
02/11/2021,$5.61,55920390,$5.62,$5.85,$5.47
02/10/2021,$5.8,152810800,$5.71,$6.59,$5.45
02/09/2021,$5.5,102588100,$5.81,$5.81,$5.26
02/08/2021,$6.18,128756000,$6.88,$6.89,$5.75
02/05/2021,$6.83,197097600,$7.17,$8.27,$6.52
02/04/2021,$7.09,162985800,$8.7,$8.74,$7
02/03/2021,$8.97,221405100,$8.85,$9.77,$7.89
02/02/2021,$7.82,462775900,$9.48,$10.1,$6
02/01/2021,$13.3,434608000,$17,$17.25,$12.91
01/29/2021,$13.26,602193300,$14.31,$16,$11.6
01/28/2021,$8.63,591223900,$11.98,$16.5,$6.51
01/27/2021,$19.9,1253254000,$20.34,$20.36,$11.01
01/26/2021,$4.96,456850200,$5.09,$5.19,$4.37
01/25/2021,$4.42,443238100,$4.71,$4.88,$3.85
01/22/2021,$3.51,268273400,$2.91,$3.74,$2.81
01/21/2021,$2.98,64823840,$3,$3.06,$2.85
01/20/2021,$2.97,181862200,$3.29,$3.34,$2.75
01/19/2021,$3.06,256276000,$2.8,$3.2,$2.57
01/15/2021,$2.33,162356400,$2.2,$2.55,$2.18
01/14/2021,$2.18,49638790,$2.22,$2.32,$2.13
01/13/2021,$2.18,45847660,$2.33,$2.38,$2.13
01/12/2021,$2.29,41784330,$2.24,$2.39,$2.235
01/11/2021,$2.2,41695840,$2.16,$2.27,$2.15
01/08/2021,$2.14,39553340,$2.09,$2.211,$2.07
01/07/2021,$2.05,26150490,$2.08,$2.11,$2.02
01/06/2021,$2.01,67363340,$2.03,$2.23,$1.97
01/05/2021,$1.98,28148310,$1.99,$2.03,$1.91
01/04/2021,$2.01,29873800,$2.2,$2.2,$2
